mean1	mean2	sd1	sd2	sampleID
-0.51169544	0.07912331	-1.7541733	0.10740841	HG01148
-0.5317915	0.033349924	-1.579461	0.0691501	HG01149
-0.5468275	0.10122626	-1.9330902	0.2601446	HG01161
-0.55379933	0.06666165	-1.6209742	0.07527245	HG01162
-0.5002143	0.03319078	-1.8532239	0.19520034	HG01164
-0.43913642	0.07057863	-1.6982033	0.16175105	HG01167
-0.44435802	0.12330108	-1.9714193	0.24956192	HG01168
-0.5518151	0.26960653	-1.5986221	0.038244136	HG01170
-0.48549905	-0.06074602	-1.9103206	0.19970144	HG01171
-0.5958535	0.24788277	-1.687591	0.19874372	HG01173
-0.51345474	0.005383543	-1.7547543	0.17217733	HG01174
-0.5115785	0.16566233	-1.644444	0.14853491	HG01176
-0.52447754	0.13944702	-1.6984196	0.10536469	HG01177
-0.44066325	0.05905264	-1.8839719	0.20669784	HG01182
-0.5506168	0.11800092	-1.7392478	0.12019075	HG01183
-0.51227754	0.1599906	-1.8924651	0.3110987	HG01187
-0.43277183	0.14615051	-1.7120872	0.059172876	HG01188
-0.18571022	0.21330576	-1.6122235	0.10493625	HG01190
-0.5977146	0.097176485	-1.7082832	0.105364926	HG01191
-0.49461523	-0.036113806	-1.7415278	0.13186254	HG01197
-0.49317148	0.042294912	-1.7796993	0.18905963	HG01198
-0.6160956	0.12300616	-1.657828	0.0885321	HG01200
-0.55280095	0.11884921	-1.6650796	0.0999719	HG01204
-0.5013369	-0.03894753	-1.8987675	0.25040185	HG01205
-0.38173214	-0.04951579	-2.0193775	0.27994168	HG01241
-0.37895623	0.14391999	-1.7078973	-0.055896513	HG01242
-0.5071265	0.1956815	-1.7765265	0.17183341	HG01247
-0.51837486	0.04442232	-1.7417481	0.20318426	HG01248
-0.5290758	0.23426585	-1.7282342	0.22705974	HG01250
-0.5128071	0.1292514	-1.7923439	0.24181367	HG01251
-0.509484	0.066078	-1.8067591	0.17589094	HG01253
-0.46770886	0.020809822	-1.9656147	0.22389688	HG01254
-0.5193655	-0.040540166	-1.7079436	0.13517107	HG01256
-0.46278372	0.07635873	-1.8670112	0.30319774	HG01257
-0.48457184	-0.05257196	-1.7353104	0.18188955	HG01259
-0.5618375	0.2667548	-1.5865474	0.052138574	HG01260
